WellID,Date,Elevation,Type
W075,1968-04-15,1362.6,Well Water Level
W079,1968-04-15,1329,Well Water Level
W086,1968-04-15,1331.9,Well Water Level
W087,1968-04-15,1334.4,Well Water Level
W092,1968-04-15,1342.9,Well Water Level
W093,1968-04-15,1343.1,Well Water Level
W037,1968-10-22,1360.5,RPELEV
W051,1968-10-22,1360.5,RPELEV
W055,1968-10-22,1357.5,RPELEV
W037,1968-10-22,1343.8,Well Water Level
W051,1968-10-22,1340.6,Well Water Level
W055,1968-10-22,1322,Well Water Level
W075,1968-10-23,1372.8,RPELEV
W079,1968-10-23,1336.3,RPELEV
W086,1968-10-23,1345.7,RPELEV
W087,1968-10-23,1335.6,RPELEV
W092,1968-10-23,1358.4,RPELEV
W093,1968-10-23,1358.4,RPELEV
W075,1968-10-23,1346.2,Well Water Level
W079,1968-10-23,1317.8,Well Water Level
W086,1968-10-23,1320.7,Well Water Level
W087,1968-10-23,1321.9,Well Water Level
W092,1968-10-23,1320.6,Well Water Level
W093,1968-10-23,1323.2,Well Water Level
W037,1969-04-11,1360.5,RPELEV
W037,1969-04-11,1356.7,Well Water Level
W051,1969-04-14,1360.5,RPELEV
W055,1969-04-14,1357.5,RPELEV
W051,1969-04-14,1357.2,Well Water Level
W055,1969-04-14,1350.6,Well Water Level
W075,1969-04-15,1372.8,RPELEV
W079,1969-04-15,1336.3,RPELEV
W086,1969-04-15,1345.7,RPELEV
W087,1969-04-15,1335.6,RPELEV
W092,1969-04-15,1358.4,RPELEV
W093,1969-04-15,1358.4,RPELEV
W075,1969-04-15,1363,Well Water Level
W079,1969-04-15,1329.3,Well Water Level
W086,1969-04-15,1332.1,Well Water Level
W087,1969-04-15,1331.9,Well Water Level
W092,1969-04-15,1342.2,Well Water Level
W093,1969-04-15,1342.9,Well Water Level
W037,1969-11-13,1360.5,RPELEV
W051,1969-11-13,1360.5,RPELEV
W055,1969-11-13,1357.5,RPELEV
W037,1969-11-13,1343.4,Well Water Level
W051,1969-11-13,1340.5,Well Water Level
W055,1969-11-13,1331,Well Water Level
W075,1969-11-14,1372.8,RPELEV
W075,1969-11-14,1350.8,Well Water Level
W079,1969-11-17,1336.3,RPELEV
W086,1969-11-17,1345.7,RPELEV
W087,1969-11-17,1335.6,RPELEV
W092,1969-11-17,1358.4,RPELEV
W093,1969-11-17,1358.4,RPELEV
W079,1969-11-17,1320.5,Well Water Level
W086,1969-11-17,1324.2,Well Water Level
